iter	RMSE
0	179620.2377
1	170159.5334
2	161703.0845
3	154197.1418
4	147505.0244
5	141662.5728
6	136449.6248
7	131506.2908
8	127294.408
9	123629.0629
10	120449.1394
11	117525.7193
12	114845.9554
13	112581.3493
14	110507.6848
15	108748.0087
16	107083.9929
17	105752.7522
18	104097.3534
19	102850.7237
20	101578.1275
21	100576.9214
22	99769.67979
23	98890.97092
24	98002.59081
25	97314.57827
26	96662.31351
27	96052.29647
28	95586.50717
29	95150.62877
30	94440.8721
31	93997.38239
32	93610.13868
33	93161.3295
34	92706.46264
35	92224.98283
36	91917.49504
37	91480.49499
38	91152.1019
39	90901.97157
40	90526.79337
41	90174.48995
42	89842.51901
43	89570.44463
44	89374.82735
45	89117.89998
46	88855.66498
47	88571.12706
48	88409.46525
49	88126.2589
50	87979.35422
51	87824.11508
52	87539.51059
53	87316.6407
54	87184.11375
55	87043.58856
56	86946.10538
57	86719.49297
58	86611.05461
59	86353.09055
60	86123.56098
61	85912.15535
62	85638.66188
63	85354.8612
64	85258.87824
65	85090.96119
66	84913.14225
67	84809.91246
68	84641.76002
69	84451.02849
70	84291.30238
71	84209.73316
72	84029.15038
73	83853.26849
74	83699.19858
75	83586.64794
76	83445.58681
77	83260.62137
78	83140.82077
79	82951.53111
80	82786.43623
81	82550.9321
82	82410.14852
83	82234.50625
84	82133.92381
85	81979.22533
86	81864.62729
87	81778.05137
88	81687.57213
89	81519.7327
90	81405.56306
91	81295.18251
92	81197.49009
93	81054.23261
94	80944.07128
95	80819.73771
96	80680.89165
97	80553.21182
98	80453.72371
99	80313.59763
100	80221.83755
101	80115.91592
102	80039.34605
103	79915.53053
104	79802.24599
105	79697.55554
106	79592.31835
107	79524.83681
108	79461.99017
109	79384.94595
110	79324.64718
111	79156.39714
112	79071.27598
113	78958.18309
114	78809.94602
115	78734.91951
116	78598.08067
117	78533.17859
118	78463.19325
119	78374.69043
120	78326.11757
121	78271.75035
122	78115.76038
123	78064.18721
124	77949.96792
125	77855.84108
126	77780.35226
127	77716.08075
128	77629.71047
129	77522.00142
130	77457.94667
131	77405.46049
132	77318.37665
133	77245.58462
134	77159.04312
135	77027.83845
136	76960.49911
137	76874.34096
138	76757.99395
139	76675.8519
140	76581.20774
141	76462.13073
142	76399.33094
143	76307.68756
144	76223.28251
145	76149.791
146	76094.78461
147	76020.27489
148	75917.08797
149	75866.8744
150	75781.3106
151	75704.69773
152	75598.97382
153	75509.3688
154	75453.63032
155	75393.15184
156	75324.30834
157	75245.308
158	75137.23017
159	75082.80397
160	75019.46844
161	74950.38306
162	74893.26482
163	74807.42061
164	74731.55857
165	74656.38946
166	74618.24823
167	74576.13683
168	74497.22005
169	74421.81923
170	74381.28252
171	74312.5999
172	74259.58262
173	74195.06226
174	74125.43815
175	74044.89623
176	73993.78716
177	73908.45673
178	73835.31497
179	73789.64652
180	73710.23648
181	73656.65697
182	73592.33283
183	73522.47866
184	73435.36625
185	73386.5913
186	73346.07575
187	73280.3869
188	73227.49292
189	73166.84382
190	73116.83925
191	73057.41742
192	72985.90742
193	72943.68631
194	72907.11704
195	72869.94104
196	72815.53195
197	72747.20973
198	72681.42386
199	72635.67899
200	72562.53391
201	72507.09938
202	72442.21074
203	72405.56143
204	72347.23283
205	72284.99256
206	72229.28353
207	72159.7493
208	72103.47586
209	72037.95307
210	71994.59391
211	71957.81529
212	71915.8279
213	71874.49672
214	71831.60483
215	71794.54763
216	71741.01646
217	71700.5999
218	71659.50874
219	71625.21866
220	71583.91641
221	71550.37275
222	71504.12509
223	71466.86307
224	71421.70796
225	71383.35377
226	71305.38471
227	71227.28771
228	71183.11894
229	71116.46701
230	71057.3773
231	71021.41329
232	70949.06283
233	70902.77065
234	70860.22485
235	70805.33132
236	70751.52189
237	70707.78413
238	70667.55067
239	70624.40774
240	70582.35491
241	70512.05886
242	70489.1832
243	70454.56044
244	70404.85612
245	70375.49452
246	70338.86493
247	70298.56973
248	70253.70459
249	70212.42515
250	70185.13009
251	70131.04458
252	70034.91886
253	69998.43998
254	69967.77667
255	69902.58721
256	69863.25191
257	69807.44858
258	69756.78124
259	69723.9347
260	69694.04397
261	69654.88503
262	69627.03515
263	69596.42534
264	69566.21316
265	69524.16071
266	69484.71868
267	69447.41303
268	69410.09675
269	69366.52813
270	69325.60725
271	69282.30067
272	69228.02225
273	69188.38199
274	69144.83212
275	69092.20918
276	69062.9394
277	69018.97393
278	68984.01904
279	68936.74583
280	68893.15776
281	68851.82759
282	68819.77797
283	68774.57334
284	68714.48709
285	68677.58656
286	68648.9498
287	68590.7148
288	68556.23161
289	68521.36684
290	68483.96342
291	68439.35925
292	68383.0068
293	68356.84883
294	68321.33483
295	68278.92417
296	68234.76765
297	68204.14268
298	68172.69322
299	68118.15041
300	68064.45124
301	68030.28744
302	67997.65674
303	67965.02536
304	67930.92451
305	67886.61881
306	67871.41777
307	67831.76349
308	67781.5309
309	67723.80962
310	67672.6588
311	67650.22571
312	67592.57796
313	67524.54716
314	67478.84306
315	67446.71692
316	67409.7051
317	67366.52829
318	67345.22048
319	67310.0745
320	67287.48155
321	67242.24781
322	67212.36236
323	67187.95408
324	67159.21427
325	67128.16228
326	67089.57757
327	67050.44604
328	67027.03463
329	67000.97266
330	66978.5367
331	66945.75341
332	66914.78259
333	66888.98847
334	66863.13319
335	66842.30936
336	66811.8215
337	66766.05468
338	66730.87882
339	66697.18173
340	66677.29173
341	66646.72921
342	66611.75468
343	66590.02157
344	66556.08838
345	66516.08163
346	66478.10297
347	66428.12494
348	66390.90777
349	66377.04274
350	66345.37392
351	66323.51642
352	66291.09472
353	66246.74979
354	66208.2571
355	66175.79147
356	66139.98925
357	66115.96293
358	66079.84397
359	66042.46627
360	66025.53619
361	65991.24668
362	65951.60479
363	65919.99909
364	65893.69242
365	65844.49638
366	65799.85239
367	65775.92975
368	65745.26814
369	65716.68839
370	65683.63736
371	65659.76319
372	65623.25146
373	65605.25144
374	65553.62931
375	65517.25009
376	65480.91605
377	65450.47455
378	65424.39303
379	65384.12311
380	65344.8648
381	65305.52305
382	65278.06385
383	65252.58708
384	65224.45711
385	65202.71301
386	65172.10971
387	65157.83622
388	65109.89562
389	65063.98896
390	65041.50982
391	65015.16144
392	64946.09338
393	64911.42971
394	64887.33583
395	64851.4427
396	64822.19442
397	64799.77924
398	64770.39433
399	64738.71583
400	64700.17545
401	64661.06496
402	64626.76429
403	64604.03396
404	64572.67843
405	64545.8336
406	64526.02971
407	64501.90586
408	64454.3316
409	64419.46136
410	64395.79083
411	64363.70101
412	64347.48122
413	64310.85394
414	64282.37175
415	64263.61203
416	64248.51756
417	64213.72737
418	64199.59902
419	64166.40532
420	64135.21499
421	64106.63081
422	64065.45567
423	64036.71244
424	64013.91628
425	63979.27249
426	63955.35509
427	63935.14371
428	63912.24368
429	63873.78112
430	63845.7596
431	63815.82345
432	63775.37552
433	63734.84143
434	63677.51281
435	63660.33084
436	63638.49924
437	63623.88952
438	63582.98972
439	63556.79365
440	63524.78987
441	63481.84466
442	63456.22658
443	63428.89047
444	63398.9976
445	63380.90899
446	63355.43587
447	63323.93742
448	63299.4269
449	63257.92486
450	63242.84227
451	63227.16791
452	63188.6204
453	63169.88761
454	63135.84891
455	63120.86476
456	63090.69635
457	63067.08679
458	63040.72938
459	63020.52331
460	62982.76939
461	62951.4117
462	62933.28281
463	62900.85125
464	62883.30066
465	62862.55539
466	62850.56121
467	62834.38534
468	62803.86325
469	62770.10281
470	62753.20012
471	62724.51891
472	62717.64447
473	62690.23903
474	62657.64185
475	62640.01549
476	62621.11838
477	62598.03298
478	62562.20497
479	62518.94063
480	62489.5095
481	62465.71199
482	62429.47999
483	62407.17037
484	62381.47996
485	62361.40024
486	62334.53727
487	62306.17421
488	62288.82381
489	62255.04739
490	62241.21006
491	62191.87017
492	62166.80678
493	62119.477
494	62081.82758
495	62052.27486
496	62029.49263
497	62007.68746
498	61980.27021
499	61949.95291
500	61922.87291
501	61897.51992
502	61874.70142
503	61851.76971
504	61835.03163
505	61806.03859
506	61789.80369
507	61760.03472
508	61740.88672
509	61709.53271
510	61674.94722
511	61653.60634
512	61630.26208
513	61606.80573
514	61589.08491
515	61542.79761
516	61509.12685
517	61479.32989
518	61461.24652
519	61441.07609
520	61424.80325
521	61404.49789
522	61360.73941
523	61337.94767
524	61305.19159
525	61294.17566
526	61274.45733
527	61250.99957
