iter	Passed	Remaining
0	96	96345
1	150	75233
2	188	62487
3	224	56007
4	260	51795
5	293	48662
6	330	46859
7	363	45058
8	400	44111
9	445	44149
10	482	43393
11	514	42323
12	549	41696
13	582	41053
14	616	40468
15	651	40068
16	686	39673
17	720	39312
18	762	39393
19	795	38998
20	828	38633
21	862	38327
22	896	38097
23	931	37869
24	964	37614
25	1001	37516
26	1035	37301
27	1068	37101
28	1103	36940
29	1137	36765
30	1171	36629
31	1204	36435
32	1238	36301
33	1273	36186
34	1307	36037
35	1337	35813
36	1370	35677
37	1402	35515
38	1436	35407
39	1470	35295
40	1505	35214
41	1539	35110
42	1573	35025
43	1607	34932
44	1642	34852
45	1676	34769
46	1710	34678
47	1744	34590
48	1779	34532
49	1812	34437
50	1848	34390
51	1882	34313
52	1914	34201
53	1947	34115
54	1982	34071
55	2017	34005
56	2051	33945
57	2094	34020
58	2141	34158
59	2176	34092
60	2209	34011
61	2242	33931
62	2276	33858
63	2310	33787
64	2345	33735
65	2380	33681
66	2414	33628
67	2447	33551
68	2479	33459
69	2514	33410
70	2559	33487
71	2593	33430
72	2628	33372
73	2662	33320
74	2696	33259
75	2730	33195
76	2762	33119
77	2797	33062
78	2828	32973
79	2859	32879
80	2894	32840
81	2928	32784
82	2962	32728
83	2996	32673
84	3031	32627
85	3063	32557
86	3096	32493
87	3132	32465
88	3165	32399
89	3197	32329
90	3231	32282
91	3265	32228
92	3299	32179
93	3333	32129
94	3366	32070
95	3401	32030
96	3434	31974
97	3468	31925
98	3503	31881
99	3538	31843
100	3574	31815
101	3621	31882
102	3660	31881
103	3695	31834
104	3729	31790
105	3761	31725
106	3795	31675
107	3831	31643
108	3863	31583
109	3898	31540
110	3931	31489
111	3968	31467
112	4000	31404
113	4034	31354
114	4069	31318
115	4102	31261
116	4135	31213
117	4168	31157
118	4202	31112
119	4235	31060
120	4269	31017
121	4302	30966
122	4336	30920
123	4372	30889
124	4406	30847
125	4439	30797
126	4474	30754
127	4507	30706
128	4540	30657
129	4575	30620
130	4609	30577
131	4643	30537
132	4676	30484
133	4709	30438
134	4742	30388
135	4776	30342
136	4810	30302
137	4851	30303
138	4884	30254
139	4918	30212
140	4954	30181
141	4988	30139
142	5021	30094
